word;stemmed;sequence number;word count;negative;positive;uncertainty;litigious;constraining;superfluous;interesting
aardvark;aardvark;1;81;0;0;0;0;0;0;0
aardvarks;aardvark;2;2;0;0;0;0;0;0;0
abaci;abaci;3;8;0;0;0;0;0;0;0
aback;aback;4;5;0,125;0,125;0;0;0;0;0
abacus;abacu;5;1752;0;0;0;0;0;0;0
abacuses;abacus;6;0;0;0;0;0;0;0;0
abaft;abaft;7;4;0;0;0;0;0;0;0
abalone;abalon;8;80;0;0;0;0;0;0;0
abalones;abalon;9;0;0;0;0;0;0;0;0
abandon;abandon;10;80492;0,125;0;0;0;0;0;0
abandoned;abandon;11;174298;0,5;0,5;0;0;0;0;0
abandoning;abandon;12;15926;0,5;0;0;0;0;0;0
abandonment;abandon;13;177889;0,5;0;0;0;0;0;0
abandonments;abandon;14;7091;0,5;0;0;0;0;0;0
abandons;abandon;15;6430;0,5;0;0;0;0;0;0
abase;abas;16;46;0,625;0;0;0;0;0;0
abased;abas;17;72;0;0;0;0;0;0;0
abasement;abas;18;6;0,375;0,625;0;0;0;0;0
abasements;abas;19;0;0;0;0;0;0;0;0
abases;abas;20;2;0;0;0;0;0;0;0
abash;abash;21;3;0,25;0;0;0;0;0;0
abashed;abash;22;0;0,375;0;0;0;0;0;0
abashedly;abashedli;23;0;0;0;0;0;0;0;0
abashes;abash;24;0;0;0;0;0;0;0;0
abashing;abash;25;0;0;0;0;0;0;0;0
abashment;abash;26;0;0,5;0,125;0;0;0;0;0
abashments;abash;27;0;0;0;0;0;0;0;0
abasing;abas;28;0;0;0;0;0;0;0;0
abate;abat;29;22938;0;0;0;0;0;0;0
abated;abat;30;26393;0;0;0;0;0;0;0
abatement;abat;31;99853;0;0;0;0;0;0;0
abatements;abat;32;10159;0;0;0;0;0;0;0
abates;abat;33;331;0;0;0;0;0;0;0
abating;abat;34;1821;0;0;0;0;0;0;0
abattoir;abattoir;35;125;0;0;0;0;0;0;0
abattoirs;abattoir;36;136;0;0;0;0;0;0;0
abbe;abb;37;180;0;0,125;0;0;0;0;0
abbes;abb;38;4;0;0;0;0;0;0;0
abbess;abbess;39;0;0;0;0;0;0;0;0
abbesses;abbess;40;0;0;0;0;0;0;0;0
abbey;abbey;41;1163;0;0;0;0;0;0;0
abbeys;abbey;42;0;0;0;0;0;0;0;0
abbot;abbot;43;452;0;0,5;0;0;0;0;0
abbots;abbot;44;0;0;0;0;0;0;0;0
abbreviate;abbrevi;45;896;0;0;0;0;0;0;0
abbreviated;abbrevi;46;14778;0;0;0;0;0;0;0
abbreviates;abbrevi;47;62;0;0;0;0;0;0;0
abbreviating;abbrevi;48;17;0;0;0;0;0;0;0
abbreviation;abbrevi;49;7236;0;0;0;0;0;0;0
abbreviations;abbrevi;50;25648;0;0;0;0;0;0;0
abdicate;abdic;51;46;0;0;0;0;0;0;0
abdicated;abdic;52;112;0,5;0;0;0;0;0;0
abdicates;abdic;53;1;0,5;0;0;0;0;0;0
abdicating;abdic;54;29;0,5;0;0;0;0;0;0
abdication;abdic;55;597;0,5;0;0;0;0;0;0
abdications;abdic;56;0;0,5;0;0;0;0;0;0
abdomen;abdomen;57;1588;0;0;0;0;0;0;0
abdomens;abdomen;58;6;0;0;0;0;0;0;0
abdominal;abdomin;59;6471;0;0;0;0;0;0;0
abdominals;abdomin;60;23;0;0;0;0;0;0;0
abduct;abduct;61;5;0;0;0;0;0;0;0
abducted;abduct;62;128;0;0;0;0;0;0;0
abducting;abduct;63;3;0;0;0;0;0;0;0
abduction;abduct;64;149;0;0;0;0;0;0;0
abductions;abduct;65;94;0;0;0;0;0;0;0
abductor;abductor;66;0;0;0;0;0;0;0;0
abductors;abductor;67;4;0;0;0;0;0;0;0
abducts;abduct;68;0;0;0;0;0;0;0;0
abeam;abeam;69;27;0;0;0;0;0;0;0
abed;abe;70;17;0;0;0;0;0;0;0
aberrant;aberr;71;787;0,5;0;0;0;0;0;0
aberration;aberr;72;723;0,25;0;0;0;0;0;0
aberrational;aberr;73;58;0,5;0;0;0;0;0;0
aberrations;aberr;74;1164;0,5;0;0;0;0;0;0
abet;abet;75;938;0;0;0;0;0;0;0
abets;abet;76;58;0;0;0;0;0;0;0
abetted;abet;77;11395;0;0;0;0;0;0;0
abetter;abett;78;29;0;0;0;0;0;0;0
abetters;abett;79;0;0;0;0;0;0;0;0
abetting;abet;80;11821;0,5;0;0;0;0;0;0
