day;article_number;polarity
02_04_2016;article_1;0.11302597402597403
02_04_2016;article_2;0.09074380165289257
02_04_2016;article_3;0.1166715859897678
02_04_2016;article_4;-0.13716329966329965
02_04_2016;article_5;0.1585648148148148
02_04_2016;article_6;0.0007575757575757496
02_04_2016;article_7;0.11302597402597403
02_04_2016;article_8;0.053630460448642274
02_04_2016;article_9;0.09074380165289257
02_04_2016;article_10;-0.13716329966329965
02_04_2016;article_11;0.15021929824561403
02_04_2016;article_12;0.1166715859897678
02_04_2016;article_13;0.05476190476190476
02_04_2016;article_14;0.1510281385281385
02_04_2016;article_15;0.17862103174603175
02_04_2016;article_16;0.05333333333333333
02_04_2016;article_17;-0.07437499999999998
02_04_2016;article_18;0.0888888888888889
02_04_2016;article_19;0.306031746031746
02_04_2016;article_20;0.012265846293624068
03_04_2016;article_1;0.11302597402597403
03_04_2016;article_2;0.09074380165289257
03_04_2016;article_3;0.1166715859897678
03_04_2016;article_4;-0.13716329966329965
03_04_2016;article_5;0.1585648148148148
03_04_2016;article_6;0.0007575757575757496
03_04_2016;article_7;0.11302597402597403
03_04_2016;article_8;0.053630460448642274
03_04_2016;article_9;0.09074380165289257
03_04_2016;article_10;-0.13716329966329965
03_04_2016;article_11;0.15021929824561403
03_04_2016;article_12;0.1166715859897678
03_04_2016;article_13;0.05476190476190476
03_04_2016;article_14;0.1510281385281385
03_04_2016;article_15;0.17862103174603175
03_04_2016;article_16;0.05333333333333333
03_04_2016;article_17;-0.07437499999999998
03_04_2016;article_18;0.0888888888888889
03_04_2016;article_19;0.306031746031746
03_04_2016;article_20;0.02606837606837609
04_04_2016;article_1;0.09696969696969697
04_04_2016;article_2;-0.01777777777777777
04_04_2016;article_3;0.13214285714285715
04_04_2016;article_4;0.02395833333333335
04_04_2016;article_5;0.04545454545454548
04_04_2016;article_6;0.014423076923076919
05_04_2016;article_1;0.055
05_04_2016;article_2;0.061143790849673196
05_04_2016;article_3;0.04533333333333333
05_04_2016;article_4;0.009976689976689972
05_04_2016;article_5;0.09423076923076924
06_04_2016;article_1;0.14005494505494506
06_04_2016;article_2;0.019970760233918135
06_04_2016;article_3;0.0578525641025641
06_04_2016;article_4;0.037373737373737365
06_04_2016;article_5;0.12166666666666667
06_04_2016;article_6;0.16153846153846152
07_04_2016;article_1;0.037373737373737365
07_04_2016;article_2;0.14005494505494506
07_04_2016;article_3;0.0578525641025641
07_04_2016;article_4;0.12166666666666667
07_04_2016;article_5;0.019970760233918135
07_04_2016;article_6;0.14005494505494506
07_04_2016;article_7;0.019970760233918135
07_04_2016;article_8;0.0578525641025641
07_04_2016;article_9;0.037373737373737365
07_04_2016;article_10;0.12166666666666667
07_04_2016;article_11;0.14999999999999997
07_04_2016;article_12;0.055
07_04_2016;article_13;0.061143790849673196
07_04_2016;article_14;0.04533333333333333
07_04_2016;article_15;0.009976689976689972
07_04_2016;article_16;0.09423076923076924
07_04_2016;article_17;0.09696969696969697
07_04_2016;article_18;0.06666666666666668
07_04_2016;article_19;0.08611111111111111
07_04_2016;article_20;0.05774147727272727
08_04_2016;article_1;0.08119834710743802
08_04_2016;article_2;0.025769230769230766
08_04_2016;article_3;0.0611111111111111
08_04_2016;article_4;0.11185770750988143
