day;article_number;polarity
28_03_2016;article_1;0.04018065268065267
28_03_2016;article_2;0.034761904761904765
28_03_2016;article_3;-0.0689709595959596
28_03_2016;article_4;0.17117604617604618
28_03_2016;article_5;0.08209366391184574
28_03_2016;article_6;0.09233511586452764
29_03_2016;article_1;0.04382055852644088
29_03_2016;article_2;0.2212121212121212
29_03_2016;article_3;-0.0031249999999999937
29_03_2016;article_4;0.13511904761904758
29_03_2016;article_5;0.1054421768707483
30_03_2016;article_1;0.09177083333333334
30_03_2016;article_2;0.14695640616693248
30_03_2016;article_3;0.15623126873126875
30_03_2016;article_4;0.0760942760942761
30_03_2016;article_5;0.20153508771929823
30_03_2016;article_6;0.05824074074074073
31_03_2016;article_1;0.1510281385281385
31_03_2016;article_2;0.17862103174603175
31_03_2016;article_3;0.05333333333333333
31_03_2016;article_4;-0.07437499999999998
31_03_2016;article_5;0.21388888888888888
31_03_2016;article_6;-0.15203703703703705;https://www.rt.com/business/337847-russia-economic-forecast-2016-2018/
